ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sodium,SaturatedFat,Cholesterol,Sugar,Calcium,Iron,Potassium,VitaminC,VitaminE,VitaminD
14315,"MALTED DRK MIX,CHOC,W/ ADDED NUTR,PDR",389,4.9,3.4,84.6,594,1.964,0,70.56,443,17.38,1193,150.1,0.03,23.8
14316,"MALTED DRK MIX,CHOC,W/ ADDED NUTR,PDR,PREP W/ WHL MILK",87,3.29,3.26,11.19,87,1.873,10,10.49,139,1.42,217,12,0.07,3.1
14317,"MALTED DRK MIX,CHOC,PDR",411,5.1,4.76,86.94,190,2.381,1,66.67,60,2.28,618,1.5,0.17,0
14318,"MALTED DRK MIX,CHOC,PDR,PREP W/ WHL MILK",85,3.37,3.29,11.2,60,1.883,10,6.68,98,0.21,172,0.1,0.06,
14323,"ORANGE DRK,CND,W/ ADDED VIT C",49,0,0.07,12.34,3,0.002,0,11.03,5,0.04,18,57.3,0.02,0
14327,"ORANGE&APRICOT JUC DRK,CND",51,0.3,0.1,12.7,2,0.01,0,12.06,5,0.1,80,20,0.11,0
14334,"PINEAPPLE&GRAPEFRUIT JUC DRK,CND",47,0.2,0.1,11.6,14,0.006,0,11.52,7,0.31,61,46,0.01,0
14341,"PINEAPPLE&ORANGE JUC DRK,CND",50,1.3,0,11.8,3,0,0,11.59,5,0.27,46,22.5,0.03,0
14346,"SHAKE,FAST FOOD,CHOCOLATE",127,3.4,3.7,20.5,97,2.313,13,18.6,113,0.31,200,0.4,0.11,0
14347,"SHAKE,FAST FOOD,VANILLA",148,3.37,6.52,19.59,81,3.962,23,13.63,115,0.46,166,0,0.25,0
14350,"STRAWBERRY-FLAVOR BEV MIX,PDR",389,0.1,0.2,99.1,38,0,0,95.45,4,0.44,6,0.3,0,0
14351,"STRAWBERRY-FLAVOR BEV MIX,PDR,PREP W/ WHL MILK",88,3,3.1,12.3,48,1.91,12,,110,0.08,139,0.9,,
14352,"TEA,BLACK,BREWED,PREP W/ TAP H2O,DECAFFEINATED",1,0,0,0.3,3,0.002,0,0,0,0.02,37,0,0,0
14353,"TEA,INST,UNSWTND,PDR,DECAFFEINATED",315,20.21,0,58.66,72,0,0,5.53,118,2.26,6040,0,0,0
14355,"TEA,BLACK,BREWED,PREP W/ TAP H2O",1,0,0,0.3,3,0.002,0,0,0,0.02,37,0,0,0
14356,"TEA,INST,SWTND W/NA SACCHARIN,LEMON-FLAV,PDR,DECAFFEINATED",338,3.3,0.6,85.4,412,0,0,1.88,21,8.87,2568,0,0,0
14357,"TEA,INST,SWTND W/SUGAR,LEMN-FLAV,WO/ VIT C,PDR,DECAFFEINATED",385,0.12,0.73,98.55,5,0.091,0,95.29,2,0.21,169,0,0,
14366,"TEA,INST,UNSWTND,PDR",315,20.21,0,58.66,72,0,0,5.53,118,2.26,6040,0,0,0
14367,"TEA,INST,UNSWTND,PDR,PREP",1,0.06,0,0.17,4,0,0,0.02,3,0.01,18,0,0,0
14368,"TEA,INST,UNSWTND,LEMON-FLAVORED,PDR",345,7.4,0.18,78.52,55,0.047,0,4.52,28,0.75,3453,0,0.09,0
14370,"TEA,INST,SWTND W/SUGAR,LEMON-FLAVORED,WO/ VIT C,PDR",401,0.12,0.73,98.55,5,0.097,0,95.29,2,0.21,169,0,0,0
14371,"TEA,INST,SWTND W/SUGAR,LEMON-FLAVORED,WO/ VIT C,PDR,PREP",35,0.01,0.06,8.61,2,0.008,0,8.33,2,0.02,15,0,0,
14375,"TEA,INST,SWTND W/NA SACCHARIN,LEMON-FLAVORED,PDR",338,3.3,0.6,85.4,412,0,0,1.88,21,8.87,2568,0,0,
14376,"TEA,INST,SWTND W/NA SACCHARIN,LEMON-FLAVORED,PREP",2,0.02,0,0.44,6,0,0,0.01,3,0.05,14,0,0,0
14381,"TEA,HERB,OTHER THAN CHAMOMILE,BREWED",1,0,0,0.2,1,0.002,0,0,2,0.08,9,0,0,0
14383,"SPORTS DRK,FRUIT-FLAVORED,LO CAL,RTD",11,0,0,3,35,0,0,0,0,0.05,10,6.3,0,0
14384,"WATER,BTLD,PERRIER",0,0,0,0,1,0,0,,14,0,0,0,,
14385,"WATER,BTLD,POLAND SPRING",0,0,0,0,1,0,0,,1,0.01,0,0,,
14390,"COCOA MIX,W/ ASPRT,PDR,PREP W/ H2O",29,1.21,0.23,5.61,72,0.139,0,2.93,48,0.39,211,0,0,
14400,"CARBONATED BEV,COLA,CONTAINS CAFFEINE",37,0.07,0.02,9.56,4,0,0,8.97,2,0.11,2,0,0,0
14405,"FRUIT PUNCH JUC DRK,FRZ CONC",175,0.3,0.7,43.1,10,0.087,0,,20,0.8,270,19.7,,
14406,"FRUIT PUNCH JUC DRK,FRZ CONC,PREP W/H2O",42,0.07,0.17,10.44,5,0.021,0,0,7,0.2,66,4.8,0,
14407,"ORANGE-FLAVOR DRK,BRKFST TYPE,PDR",386,0,0,98.94,17,0,0,92.31,385,0.02,190,230.8,0,0
14408,"ORANGE-FLAVOR DRK,BRKFST TYPE,PDR,PREP W/ H2O",49,0,0,12.65,5,0,0,11.8,52,0,25,29.5,0,
14409,"ORANGE-FLAVOR DRK,BRKFST TYPE,LO CAL,PDR",217,3.6,0,85.9,81,0,0,2.6,1378,0.07,3132,2400,,
14411,"WATER,TAP,DRINKING",0,0,0,0,4,0,0,0,3,0,0,0,0,0
14412,"WATER,TAP,WELL",0,0,0,0,5,,,,3,0,0,,,
14414,"ALCOHOLIC BEV,LIQUEUR,COFFEE,53 PROOF",326,0.1,0.3,46.8,8,0.106,0,46.43,1,0.06,30,0,0,0
14415,"ALCOHOLIC BEV,LIQUEUR,COFFEE W/CRM,34 PROOF",327,2.8,15.7,20.9,92,9.664,58,19.76,16,0.13,32,0.2,0.45,0
14416,"CARB BEV,LO CAL,COLA OR PEP,W/ ASPRT, CAF",2,0.11,0.03,0.29,8,0,0,0,3,0.11,8,0,0,0
14421,"COFFEE SUB,CRL GRAIN BEV,PDR,PREP W/ WHL MILK",65,3.3,3.3,5.6,49,2.061,13,,119,0.11,172,0.9,,
14422,"DAIRY DRK MIX,CHOC,RED CAL,W/ LOW-CALORIE SWEETENERS,PDR",329,25,2.6,51.4,659,1.871,24,32.94,1412,7.7,2240,5.6,0.04,4.7
14423,"DAIRY DRK MIX,CHOC,RED CAL,W/ ASPRT,PDR,PREP W/ H2O & ICE",29,2.19,0.23,4.51,61,0.164,2,2.89,127,0.68,197,0.5,0,
14424,"ORANGE-FLAVOR DRK,BRKFST TYPE,W/PULP,FRZ CONC",172,0.1,0.5,42.9,24,0.078,0,41.85,130,0.26,435,243.1,0.3,0
14425,"ORANGE-FLAVOR DRK,BRKFST TYPE,W/PULP,FRZ CONC,PREP W/H2O",49,0.03,0.14,12.21,10,0.022,0,11.91,39,0.08,124,69.2,,
14426,"ORANGE DRK,BRKFST TYPE,W/ JUC & PULP,FRZ CONC",153,0.4,0,39,26,0.002,0,38.05,399,0.26,465,189.7,0.09,0
14427,"ORANGE DRK,BRKFST TYPE,W/JUC&PULP,FRZ CONC,PREP W/H2O",45,0.12,0,11.32,10,0.001,0,11.05,118,0.08,167,55.1,0.02,
14428,"SHAKE,FAST FD,STRAWBERRY",113,3.4,2.8,18.9,83,1.734,11,,113,0.11,182,0.8,,0
14429,"WATER,TAP,MUNICIPAL",0,0,0,0,3,0,0,0,3,0,1,0,0,0
14430,"CRANBERRY JUC COCKTAIL,FRZ CONC",201,0.05,0,51.45,4,0,0,42.5,11,0.3,49,45.8,,
14431,"CRANBERRY JUC COCKTAIL,FRZ CONC,PREP W/ H2O",47,0.01,0,11.81,4,0,0,9.76,5,0.07,12,10.5,0,
14432,"WATER,BTLD,NON-CARBONATED,DANNON",0,0,0,0,0,,,,3,0,0,,,
14433,"WATER,BTLD,NON-CARBONATED,PEPSI,AQUAFINA",0,0,0,0,0,,,,0,0,0,,,
14434,"WATER,BTLD,NON-CARBONATED,DASANI",0,0,0,0,0,,,,0,0,0,,,
14436,"ORANGE BRKFST DRK,RTD,W/ ADDED NUTR",53,0,0,13.2,54,0,0,8.02,100,0.05,83,24,0.04,0
14437,"WATER,BTLD,NON-CARBONATED,CALISTOGA",0,0,0,0,0,,,,0,,0,,,
14438,"WATER,BTLD,NON-CARBONATED,CRYSTAL GEYSER",0,0,0,0,1,,,,3,,0,,,
14439,"WATER,BTLD,NON-CARBONATED,NAYA",0,0,0,0,1,,,,4,,0,,,
14440,"WATER,BTLD,NON-CARBONATED,DANNON FLUORIDE TO GO",0,0,0,0.03,1,,,,3,0.01,0,,,
14450,"DRINK MIX,QUAKER OATS,GATORADE,ORANGE FLAVOR,PDR",388,0,1.23,94.11,63,0,0,80.5,40,0.34,30,0.4,,
14460,"SPORTS DRK,PEPSICO,GATORADE,FRUIT-FLAVORED,RTD",26,0,0,6.43,39,0,0,5.24,1,0.05,15,0.4,0,0
14461,"SPORTS DRK,COCA-COLA,POWERADE,LEMON-LIME FLAV,RTD",32,0,0.05,7.84,22,0.008,0,6.11,1,0.09,18,0,0,0
14462,"QUAKER OATS,PROPEL FITNESS H2O,FRUIT-FLAVORED,NON-CARBONATED",5,0,0,1.22,13,0,0,1.22,1,0.03,16,8.8,1.67,0
14475,"TEA,RTD,ARIZONA ICED TEA,W/ LEMON FLAVOR",39,0,0,9.77,4,0,0,9.63,3,0,10,0,,
14476,"TEA,RTD,LIPTON BRISK ICED TEA,W/ LEMON FLAVOR",35,0,0,8.81,21,0,0,8.69,1,0,19,,,
14530,"WHISKEY SOUR MIX,BTLD,W/ K&NA",84,0.1,0.1,21.4,33,0.008,0,,2,0.11,7,2.7,,
14531,"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14530",149,0,0,13.1,20,0.005,0,,1,0.08,5,1.6,,
14532,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 94 PROOF",275,0,0,0,1,0,0,,0,0.04,2,0,,
14533,"ALCOHOLIC BEV,DISTILLED,ALL 100 PROOF",295,0,0,0,1,0,0,,0,0.04,2,0,,
14534,"ALCOHOLIC BEV,LIQUEUR,COFFEE,63 PROOF",308,0.1,0.3,32.2,8,0.106,0,32.2,1,0.06,30,0,,
14536,"ALCOHOLIC BEV,WINE,DSSRT,DRY",152,0.2,0,11.67,9,0,0,1.09,8,0.24,92,0,0,
14537,"CARBONATED BEV,LOCAL,OTHR THAN COLA OR PEP,W/ NA SAC,WO/ CAF",0,0,0,0.1,16,0,0,,4,0.04,2,0,,
14538,"COCOA MIX,W/ ASPT,LO CAL,PDR,W/ ADD CA P,WO/ ADD NA OR VIT A",359,25.1,3,58,653,1.777,11,55.58,1440,4.96,2702,0,0.21,0
14541,"FRUIT PUNCH-FLAVOR DRK,PDR,WO/ NA,PREP W/H2O",37,0,0.01,9.47,7,0.006,0,9.23,17,0.05,1,11.8,0,
14542,"LEMONADE,FRZ CONC,PINK",192,0.22,0.69,48.86,4,0.026,0,46.46,8,0.08,76,14.1,0.07,
14543,"LEMONADE,FRZ CONC,PINK,PREP W/H2O",43,0.05,0.15,10.81,4,0.006,0,10.28,4,0.02,17,3.1,0.02,0
14544,"TEA,BLACK,BREWED,PREP W/ DISTILLED H2O",1,0,0,0.3,0,0.002,0,,0,0.01,21,0,,
14545,"TEA,HERB,CHAMOMILE,BREWED",1,0,0,0.2,1,0.002,0,0,2,0.08,9,0,0,0
14548,"TEA,INST,SWTND W/SUGAR,LEMON-FLAVORED,W/ VIT C,PDR",385,0.6,0.3,97.6,5,0.037,0,,3,0.16,217,100,,
14550,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF",250,0,0,0.1,1,0,0,0,0,0.04,2,0,0,0
14551,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 90 PROOF",263,0,0,0,1,0,0,0,0,0.04,2,0,0,0
14552,"CARBONATED BEV,CHOCOLATE-FLAVORED SODA",42,0,0,10.7,88,0,0,10.7,4,0.1,50,0,0,0
14553,"WINE,NON-ALCOHOLIC",6,0.5,0,1.1,7,0,0,1.1,9,0.4,88,0,0,0
14555,"WATER,BTLD,GENERIC",0,0,0,0,2,0,0,0,10,0,0,0,0,0
14557,"CHOCOLATE-FLAVOR BEV MIX FOR MILK,PDR,W/ ADDED NUTR",400,4.55,2.27,90.28,136,2.273,0,81.82,455,0,280,27.3,0.04,0
14558,"CHOCOLATE-FLAVOR BEV MIX W/ ADDED NUTR,PREP W/ WHL MILK",89,3.27,3.17,11.87,50,1.899,10,11.59,141,0.03,144,2.3,0.07,1.2
14559,"WATER,BTLD,NON-CARBONATED,EVIAN",0,0,0,0,0,,,,8,0,0,,,
14599,"SPORTS DRK,POWERADE ZERO ION4,CALORIE-FREE,ASSORTED FLAVORS",0,0,0,0,42,0,0,0,2,0.05,10,2.5,0.57,0
14601,"TEA,RTD,UNSWTND,WENDY'S,FAST FD,WO/ ICE",1,0.22,0,0,3,0,,,2,0,14,,,
14602,"ALCOHOLIC BEV,WINE,TABLE,RED,MERLOT",83,0.07,0,2.51,4,,,0.62,8,0.46,127,0,,
14604,"WATER,NON-CARBONATED,FRUIT FLAVORS,SWTND W/ LO CAL SWTNR",1,0,0,0.15,3,0,0,0,1,0,4,0,0,0
14605,"WATER W/ ADDED VITAMINS & MINERALS,SWTND, FRUIT FLAVORS",22,0,0,5.49,0,0,0,5.49,17,0,0,12.7,1.9,0
14606,"BREAKFAST TYPE DRK,ORANGE FLAVOR,RED SUGAR",4,0.04,0,0.9,5,0,0,0.03,11,0,33,25.1,0.56,0
14607,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,DIET BERRY BLEND",4,0,0,1.23,14,,,0.41,,,33,24.7,1.11,
14608,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,DIET FRUIT MEDLEY",4,0,0,1.26,13,,,0.84,,,15,25.2,1.13,
14609,"CAMPBELL SOUP COMPANY,V8 SPLASH,DIET STRAWBERRY KIWI",4,0,0,1.26,13,,,0.84,8,0.3,15,25.2,1.13,
14610,"CAMPBELL SOUP COMPANY,V8 SPLASH,DIET TROPICAL BLEND",4,0,0,1.26,15,,,0.42,,,34,25.2,1.13,
14611,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,BERRY BLEND",29,0,0,7.41,21,,,7.41,,,14,24.7,1.11,
14612,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,FRUIT MEDLEY",33,0,0,7.82,21,,,7.82,,,10,24.7,1.11,
14613,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC,GUAVA PASSION FRUIT",33,0,0,7.82,14,,,7.82,,,12,24.7,1.11,
14614,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,MANGO PEACH",33,0,0,8.23,16,,,8.23,,,12,24.7,1.11,
14615,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,ORANGE PNAPPL",29,0,0,7.41,21,,,7.41,,,10,24.7,1.11,
14616,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,ORCHARD BLEND",33,0,0,7.82,21,,,7.82,,,10,24.7,1.11,
14617,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,STRAWBERRY BANANA",29,0,0,7.41,21,,,7.41,,,8,24.7,1.11,
14618,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,STRAWBERRY KIWI",29,0,0,7.41,21,,,7.41,,,14,24.7,1.11,
14619,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,TROPICAL BLEND",29,0,0,7.41,21,,,7.41,,,12,24.7,1.11,
14620,"CAMPBELL SOUP COMPANY,V8 V. FUSION JUICES,PEACH MANGO",49,0.41,0,11.38,28,,,10.57,8,0.15,85,24.4,0.55,
14621,"CAMPBELL SOUP COMPANY,V8 V. FUSION JUICES,STRAWBERRY BANANA",49,0.41,0,11.79,28,,,10.16,8,0.15,102,24.4,0.55,
14622,"CAMPBELL SOUP COMPANY,V8 V. FUSION JUICES,TROPICAL",49,0.41,0,11.38,33,,,10.16,8,0.15,118,24.4,0.55,
14623,"CAMPBELL SOUP COMPANY,V8 V. FUSION JUICES,ACAI BERRY",45,0,0,10.98,28,0,0,10.57,1,0.81,98,40.7,1.83,
14624,"COFFEE SUB,RSTD GRAIN BEV,NAT TOUCH KAFFREE ROMA,PDR",358,4.5,0.3,84.3,126,,0,3.5,43,3.87,999,0,,
14625,"ENERGY DRK,AMP",46,0.25,0.08,12.08,27,0,0,12.08,13,0.02,3,0,0,0
14626,"ENERGY DRK,FULL THROTTLE",46,0.25,0.08,12.08,35,0,0,12.08,13,0.02,3,0,0,0
14627,"ENERGY DRK,MONSTER",42,0,0,11.25,75,0,0,11.25,3,0.01,3,0,0,0
14628,"ENERGY DRK,AMP,SUGAR FREE",2,0,0,1.03,31,0,0,0,0,0,2,0,0,0
14629,"ENERGY DRK,ROCKSTAR",58,0,0,12.7,17,0,0,12.7,13,0.02,3,0,0,0
14630,"ENERGY DRK,ROCKSTAR,SUGAR FREE",4,0.25,0.08,0.7,52,0,0,0,13,0.02,3,0,0,0
14631,"HORCHATA,DRY MIX,UNPREP,VAR OF BRANDS,ALL W/ MORRO SEEDS",413,7.5,7.46,79.05,3,2.086,0,38.9,60,5.8,180,0.3,0.37,0
14632,"MEAL SUPP DRK,NESTLE,SUPLIGEN,CND,PNUT FLAVOR",101,3.5,3.07,14.74,54,0.571,,,110,2.2,160,0.7,0.09,
14633,"VEGETABLE & FRUIT JUC DRK,RED CAL,ADDED VIT C",4,0,0,1.1,14,0,0,0.63,8,0.3,24,25.1,1.13,0
14634,"READY-TO-DRINK RED FAT MILK,FLAV & SWTND,W/CA,VIT A & VIT D",77,3.05,1.83,12.08,49,1.124,8,11.4,164,0.03,130,0.2,0.03,1.1
14635,"BEVERAGES,VEG & FRUIT JUC BLEND,W/ ADDED VITAMINS A,C,E",46,0.3,0.01,11.15,29,0,0,10.37,8,0.31,101,28.5,0.87,0
14636,"BEVERAGES,FRUIT JUC DRK,RED SUGAR,W/ VITAMIN E ADDED",39,0,0.07,10,2,0.008,0,9,5,0.04,11,0,0.68,0
14637,"WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV",18,0,0,4.5,8,0,0,4.5,17,0,0,12.7,1.9,0
14638,"BEVERAGE,HORCHATA,AS SERVED IN RESTAURANT",54,0.48,0.71,11.52,14,,,9.36,18,0.01,34,,0.24,
14639,"RICE DRK,UNSWTND,W/ ADDED CA,VITAMINS A & D",47,0.28,0.97,9.17,39,0,0,5.28,118,0.2,27,0,0.47,1
14640,"ENERGY DRK,VAULT,CITRUS FLAVOR",49,0,0,12.99,12,0,0,12.99,2,0.02,3,0,0,0
14641,"ENERGY DRK,VAULT ZERO,SUGAR-FREE,CITRUS FLAVOR",1,0.25,0.08,0.7,14,0,0,0,2,0.02,3,0,0,0
14644,"SPORTS DRK,GATORADE G2,LO CAL",8,0.05,0.01,1.94,45,0,0,1.3,0,0,13,0,0,0
14645,"FRUIT FLAV DRK,LESS THAN 3% JUC,NOT FORT W/ VIT C",64,0,0,16.03,36,0,0,15.85,3,0,31,0,0,0
14646,"FRUIT FLAV DRK CONTAINING LESS THAN 3% FRUIT JUC,W/ HI VIT C",27,0,0,6.67,36,0,0,5,3,0,31,25,0,0
14647,"FRUIT FLAV DRK,RED SUGAR,JUC,HI VIT C,ADDED CA",29,0,0.37,6.67,25,0,0,5,42,0,31,25,0,0.3
14648,"FRUIT JUC DRK,OVER 3% FRUIT JUC,HI VIT C & ADDED THIAMIN",54,0.13,0.05,13.16,61,0.017,0,12.11,3,0.25,122,25.4,0.05,0
14649,HIBISCUS TEA,37,0.43,0.65,7.41,3,0.267,0,6,1,8.64,9,18.4,0,0
14651,"FRUIT JUC DRK,GREATER THAN 3% JUC,HI VIT C",46,0.13,0.11,11.35,8,0.017,0,10.69,3,0.25,122,25,0.05,0
14652,"FRUIT-FLAVORED DRK,DRY PDR,LO CAL,W/ HI VIT C",200,0,0,88.79,0,0,0,0,800,0,1,2400,0.68,0
15001,"ANCHOVY,EUROPEAN,RAW",131,20.35,4.84,0,104,1.282,60,0,147,3.25,383,0,0.57,
15002,"ANCHOVY,EUROPEAN,CND IN OIL,DRND SOL",210,28.89,9.71,0,3668,2.203,85,0,232,4.63,544,0,3.33,1.7
15003,"BASS,FRSH H2O,MXD SP,RAW",114,18.86,3.69,0,70,0.78,68,,80,1.49,356,2,,
15004,"BASS,STRIPED,RAW",97,17.73,2.33,0,69,0.507,80,,15,0.84,256,0,,
15005,"BLUEFISH,RAW",124,20.04,4.24,0,60,0.915,59,,7,0.48,372,0,,
15006,"BURBOT,RAW",90,19.31,0.81,0,97,0.163,60,,50,0.9,404,0,,
15007,"BUTTERFISH,RAW",146,17.28,8.02,0,89,3.38,65,,22,0.5,375,0,,
15008,"CARP,RAW",127,17.83,5.6,0,49,1.083,66,0,41,1.24,333,1.6,0.63,24.7
15009,"CARP,COOKED,DRY HEAT",162,22.86,7.17,0,63,1.388,84,,52,1.59,427,1.6,,
15010,"CATFISH,CHANNEL,WILD,RAW",95,16.38,2.82,0,43,0.722,58,,14,0.3,358,0.7,,12.5
15011,"CATFISH,CHANNEL,CKD,BREADED&FRIED",229,18.09,13.33,8.04,280,3.288,71,,44,1.43,340,0,,
15012,CAVIAR,264,24.6,17.9,4,1500,4.06,588,0,275,11.88,181,0,1.89,2.9
15013,"CISCO,RAW",98,18.99,1.91,0,55,0.421,50,,12,0.4,354,0,,
15014,"CISCO,SMOKED",177,16.36,11.9,0,481,1.741,32,0,26,0.49,293,0,0.22,13.3
15015,"COD,ATLANTIC,RAW",82,17.81,0.67,0,54,0.131,43,0,16,0.38,413,1,0.64,0.9
15016,"COD,ATLANTIC,CKD,DRY HEAT",105,22.83,0.86,0,78,0.168,55,0,14,0.49,244,1,0.81,1.2
15017,"COD,ATLANTIC,CND,SOL&LIQ",105,22.76,0.86,0,218,0.167,55,0,21,0.49,528,1,0.82,1.2
15018,"COD,ATLANTIC,DRIED&SALTED",290,62.82,2.37,0,7027,0.462,152,0,160,2.5,1458,3.5,2.84,4
15019,"COD,PACIFIC,RAW",69,15.27,0.41,0,303,0.085,47,0,8,0.16,235,0,0.54,0.5
15020,"CROAKER,ATLANTIC,RAW",104,17.78,3.17,0,56,1.088,61,0,15,0.37,345,0,1.29,0.7
15021,"CROAKER,ATLANTIC,CKD,BREADED&FRIED",221,18.2,12.67,7.54,348,3.476,84,,32,0.86,340,0,,
15022,"CUSK,RAW",87,18.99,0.69,0,31,0.13,41,,10,0.83,392,0,,
15023,"DOLPHINFISH,RAW",85,18.5,0.7,0,88,0.188,73,,15,1.13,416,0,,
15024,"DRUM,FRESHWATER,RAW",119,17.54,4.93,0,75,1.119,64,,60,0.9,275,1,,
15025,"EEL,MIXED SPECIES,RAW",184,18.44,11.66,0,51,2.358,126,0,20,0.5,272,1.8,4,23.3
15026,"EEL,MXD SP,CKD,DRY HEAT",236,23.65,14.95,0,65,3.023,161,,26,0.64,349,1.8,,
15027,"FISH PORTIONS&STKS,FRZ,PREHTD",249,11.04,13.25,21.18,421,2.758,28,2.5,26,1.01,216,0,1.15,0.4
15028,"FLATFISH (FLOUNDER&SOLE SP),RAW",70,12.41,1.93,0,296,0.441,45,0,21,0.18,160,0,0.63,2.8
15029,"FLATFISH (FLOUNDER&SOLE SP),CKD,DRY HEAT",86,15.24,2.37,0,363,0.542,56,0,25,0.23,197,0,0.77,3.5
15030,"GEFILTEFISH,COMM,SWT RECIPE",84,9.07,1.73,7.41,524,0.412,30,,23,2.48,91,0.8,,
15031,"GROUPER,MIXED SPECIES,RAW",92,19.38,1.02,0,53,0.233,37,,27,0.89,483,0,,
15032,"GROUPER,MXD SP,CKD,DRY HEAT",118,24.84,1.3,0,53,0.299,47,,21,1.14,475,0,,
15033,"HADDOCK,RAW",74,16.32,0.45,0,213,0.091,54,0,11,0.17,286,0,0.45,0.5
15034,"HADDOCK,COOKED,DRY HEAT",90,19.99,0.55,0,261,0.111,66,0,14,0.21,351,0,0.55,0.6
15035,"HADDOCK,SMOKED",116,25.23,0.96,0,763,0.173,77,0,49,1.4,415,0,0.55,0.8
15036,"HALIBUT,ATLANTIC&PACIFIC,RAW",91,18.56,1.33,0,68,0.292,49,0,7,0.16,435,0,0.61,4.7
15037,"HALIBUT,ATLANTIC&PACIFIC,CKD,DRY HEAT",111,22.54,1.61,0,82,0.354,60,0,9,0.2,528,0,0.74,5.8
15038,"HALIBUT,GREENLAND,RAW",186,14.37,13.84,0,80,2.419,46,0,3,0.66,268,0,0.73,27.4
15039,"HERRING,ATLANTIC,RAW",158,17.96,9.04,0,90,2.04,60,0,57,1.1,327,0.7,1.07,4.2
15040,"HERRING,ATLANTIC,CKD,DRY HEAT",203,23.03,11.59,0,115,2.615,77,0,74,1.41,419,0.7,1.37,5.4
15041,"HERRING,ATLANTIC,PICKLED",262,14.19,18,9.64,870,2.381,13,7.71,77,1.22,69,0,1.71,2.8
15042,"HERRING,ATLANTIC,KIPPERED",217,24.58,12.37,0,918,2.791,82,0,84,1.51,447,1,1.54,2.2
15043,"HERRING,PACIFIC,RAW",195,16.39,13.88,0,74,3.257,77,,83,1.12,423,0,,
15044,"LING,RAW",87,18.99,0.64,0,135,0.12,40,,34,0.65,379,0,,
15045,"LINGCOD,RAW",85,17.66,1.06,0,59,0.197,52,,14,0.32,437,0,,
15046,"MACKEREL,ATLANTIC,RAW",205,18.6,13.89,0,90,3.257,70,0,12,1.63,314,0.4,1.52,16.1
15047,"MACKEREL,ATLANTIC,CKD,DRY HEAT",262,23.85,17.81,0,83,4.176,75,,15,1.57,401,0.4,,
15048,"MACKEREL,JACK,CND,DRND SOL",156,23.19,6.3,0,379,1.857,79,0,241,2.04,194,0.9,1.03,7.3
15049,"MACKEREL,KING,RAW",105,20.28,2,0,158,0.363,53,,31,1.78,435,1.6,,
15050,"MACKEREL,PACIFIC&JACK,MXD SP,RAW",158,20.07,7.89,0,86,2.247,47,0,23,1.16,406,2,1,9.1
15051,"MACKEREL,SPANISH,RAW",139,19.29,6.3,0,59,1.828,76,0,11,0.44,446,1.6,0.69,7.3
15052,"MACKEREL,SPANISH,CKD,DRY HEAT",158,23.59,6.32,0,66,1.801,73,,13,0.74,554,1.6,,
15053,"MILKFISH,RAW",148,20.53,6.73,0,72,1.66,52,,51,0.32,292,0,,
15054,"MONKFISH,RAW",76,14.48,1.52,0,18,0.34,25,,8,0.32,400,1,,
15055,"MULLET,STRIPED,RAW",117,19.35,3.79,0,65,1.116,49,0,41,1.02,357,1.2,1,1.5
15056,"MULLET,STRIPED,CKD,DRY HEAT",150,24.81,4.86,0,71,1.431,63,,31,1.41,458,1.2,,
15057,"OCEAN PERCH,ATLANTIC,RAW",79,15.31,1.54,0,287,0.273,52,0,28,0.22,187,0,0.76,1.2
15058,"OCEAN PERCH,ATLANTIC,CKD,DRY HEAT",96,18.51,1.87,0,347,0.33,63,0,34,0.27,226,0,0.91,1.4
15059,"POUT,OCEAN,RAW",79,16.64,0.91,0,61,0.32,52,,10,0.28,400,0,,
15060,"PERCH,MIXED SPECIES,RAW",91,19.39,0.92,0,62,0.185,90,0,80,0.9,269,1.7,0.2,3
15061,"PERCH,MXD SP,CKD,DRY HEAT",117,24.86,1.18,0,79,0.237,115,,102,1.16,344,1.7,,
15062,"PIKE,NORTHERN,RAW",88,19.26,0.69,0,39,0.118,39,0,57,0.55,259,3.8,0.2,2.5
15063,"PIKE,NORTHERN,CKD,DRY HEAT",113,24.69,0.88,0,49,0.151,50,,73,0.71,331,3.8,,
